entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-18T11:53:44Z,highest-temperature-in-amsterdam-on-july-18-2026,highest-temperature-in-amsterdam-on-july-18-2026-20c,amsterdam,2026-07-18,NO,20°C,20-29c,0.88,11.36,10.0,0.06,0.21,0.47,1.3,won,11.36,1.3,2026-07-19T08:25:32Z
2026-07-18T11:58:18Z,highest-temperature-in-cape-town-on-july-18-2026,highest-temperature-in-cape-town-on-july-18-2026-17c,cape-town,2026-07-18,YES,17°C,65-74c,0.66,15.15,10.0,0.17,0.66,0.66,4.98,lost,0.0,-10.17,2026-07-19T08:25:32Z
2026-07-18T11:58:18Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-24c,london,2026-07-18,NO,24°C,20-29c,0.81,12.35,10.0,0.095,0.2,0.52,2.25,won,12.35,2.25,2026-07-19T08:25:32Z
2026-07-18T12:02:52Z,highest-temperature-in-amsterdam-on-july-18-2026,highest-temperature-in-amsterdam-on-july-18-2026-19c,amsterdam,2026-07-18,YES,19°C,65-74c,0.67,14.93,10.0,0.1651,0.67,0.67,4.76,won,14.93,4.76,2026-07-19T08:25:32Z
2026-07-18T12:14:18Z,highest-temperature-in-madrid-on-july-18-2026,highest-temperature-in-madrid-on-july-18-2026-36c,madrid,2026-07-18,YES,36°C,85-97c,0.85,11.76,10.0,0.075,0.85,0.85,1.68,won,11.76,1.68,2026-07-19T08:25:32Z
2026-07-18T12:18:52Z,highest-temperature-in-cape-town-on-july-18-2026,highest-temperature-in-cape-town-on-july-18-2026-16c,cape-town,2026-07-18,YES,16°C,65-74c,0.74,13.51,10.0,0.13,0.74,0.74,3.38,won,13.51,3.38,2026-07-19T08:25:32Z
2026-07-18T12:23:27Z,highest-temperature-in-helsinki-on-july-18-2026,highest-temperature-in-helsinki-on-july-18-2026-25c,helsinki,2026-07-18,YES,25°C,85-97c,0.86,11.63,10.0,0.07,0.86,0.86,1.56,lost,0.0,-10.07,2026-07-19T08:25:32Z
2026-07-18T12:28:01Z,highest-temperature-in-munich-on-july-18-2026,highest-temperature-in-munich-on-july-18-2026-26c,munich,2026-07-18,YES,26°C,65-74c,0.73,13.7,10.0,0.135,0.73,0.73,3.56,won,13.7,3.56,2026-07-19T08:25:32Z
2026-07-18T12:28:01Z,highest-temperature-in-milan-on-july-18-2026,highest-temperature-in-milan-on-july-18-2026-33c,milan,2026-07-18,NO,33°C,20-29c,0.86,11.63,10.0,0.07,0.28,0.46,1.56,won,11.63,1.56,2026-07-19T08:25:32Z
2026-07-18T12:39:28Z,highest-temperature-in-munich-on-july-18-2026,highest-temperature-in-munich-on-july-18-2026-26c,munich,2026-07-18,YES,26°C,85-97c,0.9,11.11,10.0,0.05,0.9,0.9,1.06,won,11.11,1.06,2026-07-19T08:25:32Z
2026-07-18T12:39:28Z,highest-temperature-in-ankara-on-july-18-2026,highest-temperature-in-ankara-on-july-18-2026-29c,ankara,2026-07-18,YES,29°C,65-74c,0.65,15.38,10.0,0.1749,0.65,0.65,5.21,won,15.38,5.21,2026-07-19T08:25:32Z
2026-07-18T12:44:02Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-24c,moscow,2026-07-18,YES,24°C,65-74c,0.7,14.29,10.0,0.15,0.7,0.7,4.14,won,14.29,4.14,2026-07-19T08:25:32Z
2026-07-18T12:48:36Z,highest-temperature-in-milan-on-july-18-2026,highest-temperature-in-milan-on-july-18-2026-34c,milan,2026-07-18,YES,34°C,65-74c,0.66,15.15,10.0,0.17,0.66,0.66,4.98,won,15.15,4.98,2026-07-19T08:25:32Z
2026-07-18T12:48:36Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-26c,moscow,2026-07-18,NO,26°C,10-19c,0.93,10.75,10.0,0.035,0.18,0.46,0.71,won,10.75,0.71,2026-07-19T08:25:32Z
2026-07-18T12:48:36Z,highest-temperature-in-ankara-on-july-18-2026,highest-temperature-in-ankara-on-july-18-2026-30c,ankara,2026-07-18,NO,30°C,20-29c,0.86,11.63,10.0,0.07,0.29,0.61,1.56,won,11.63,1.56,2026-07-19T08:25:32Z
2026-07-18T12:54:44Z,highest-temperature-in-helsinki-on-july-18-2026,highest-temperature-in-helsinki-on-july-18-2026-26c,helsinki,2026-07-18,YES,26°C,85-97c,0.96,10.42,10.0,0.02,0.96,0.96,0.4,won,10.42,0.4,2026-07-19T08:25:32Z
2026-07-18T12:59:18Z,highest-temperature-in-amsterdam-on-july-18-2026,highest-temperature-in-amsterdam-on-july-18-2026-19c,amsterdam,2026-07-18,YES,19°C,85-97c,0.85,11.76,10.0,0.075,0.85,0.85,1.68,won,11.76,1.68,2026-07-19T08:25:32Z
2026-07-18T13:03:52Z,highest-temperature-in-miami-on-july-18-2026,highest-temperature-in-miami-on-july-18-2026-90-91f,miami,2026-07-18,YES,90-91°F,65-74c,0.68,14.71,10.0,0.16,0.68,0.68,4.55,won,14.71,4.55,2026-07-19T08:25:32Z
2026-07-18T13:10:42Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-24c,moscow,2026-07-18,YES,24°C,85-97c,0.87,11.49,10.0,0.065,0.87,0.87,1.43,won,11.49,1.43,2026-07-19T08:25:32Z
2026-07-18T13:10:42Z,highest-temperature-in-cape-town-on-july-18-2026,highest-temperature-in-cape-town-on-july-18-2026-16c,cape-town,2026-07-18,YES,16°C,85-97c,0.96,10.42,10.0,0.02,0.96,0.96,0.4,won,10.42,0.4,2026-07-19T08:25:32Z
2026-07-18T13:10:42Z,highest-temperature-in-cape-town-on-july-18-2026,highest-temperature-in-cape-town-on-july-18-2026-17c,cape-town,2026-07-18,NO,17°C,10-19c,0.95,10.53,10.0,0.025,0.18,0.66,0.5,won,10.53,0.5,2026-07-19T08:25:32Z
2026-07-18T13:10:42Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-25c,moscow,2026-07-18,NO,25°C,20-29c,0.9,11.11,10.0,0.05,0.2,0.52,1.06,won,11.11,1.06,2026-07-19T08:25:32Z
2026-07-18T13:15:16Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-25c,moscow,2026-07-18,NO,25°C,10-19c,0.85,11.76,10.0,0.075,0.17,0.52,1.68,won,11.76,1.68,2026-07-19T08:25:32Z
2026-07-18T13:19:51Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-23c,london,2026-07-18,NO,23°C,20-29c,0.787,12.71,10.0,0.1065,0.262,0.5,2.6,won,12.71,2.6,2026-07-19T08:25:32Z
2026-07-18T13:31:17Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-23c,london,2026-07-18,NO,23°C,10-19c,0.882,11.34,10.0,0.059,0.13,0.5,1.28,won,11.34,1.28,2026-07-19T08:25:32Z
2026-07-18T13:40:26Z,highest-temperature-in-milan-on-july-18-2026,highest-temperature-in-milan-on-july-18-2026-34c,milan,2026-07-18,YES,34°C,85-97c,0.86,11.63,10.0,0.07,0.86,0.86,1.56,won,11.63,1.56,2026-07-19T08:25:32Z
2026-07-18T13:56:25Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-22c,london,2026-07-18,YES,22°C,65-74c,0.681,14.68,10.0,0.1595,0.681,0.681,4.52,lost,0.0,-10.16,2026-07-19T08:25:32Z
2026-07-18T14:00:59Z,highest-temperature-in-ankara-on-july-18-2026,highest-temperature-in-ankara-on-july-18-2026-29c,ankara,2026-07-18,YES,29°C,85-97c,0.97,10.31,10.0,0.015,0.97,0.97,0.3,won,10.31,0.3,2026-07-19T08:25:32Z
2026-07-18T14:07:06Z,highest-temperature-in-paris-on-july-18-2026,highest-temperature-in-paris-on-july-18-2026-29c,paris,2026-07-18,YES,29°C,85-97c,0.85,11.76,10.0,0.075,0.85,0.85,1.68,won,11.76,1.68,2026-07-19T08:25:32Z
2026-07-18T14:07:06Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-21c,london,2026-07-18,YES,21°C,65-74c,0.747,13.39,10.0,0.1265,0.747,0.747,3.26,won,13.39,3.26,2026-07-19T08:25:32Z
2026-07-18T14:07:06Z,highest-temperature-in-nyc-on-july-18-2026,highest-temperature-in-nyc-on-july-18-2026-80-81f,nyc,2026-07-18,YES,80-81°F,65-74c,0.69,14.49,10.0,0.155,0.69,0.69,4.33,won,14.49,4.33,2026-07-19T08:25:32Z
2026-07-18T14:16:15Z,highest-temperature-in-ankara-on-july-18-2026,highest-temperature-in-ankara-on-july-18-2026-30c,ankara,2026-07-18,NO,30°C,10-19c,0.92,10.87,10.0,0.04,0.14,0.61,0.83,won,10.87,0.83,2026-07-19T08:25:32Z
2026-07-18T14:23:06Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-22c,london,2026-07-18,NO,22°C,20-29c,0.815,12.27,10.0,0.0925,0.244,0.681,2.18,won,12.27,2.18,2026-07-19T08:25:32Z
2026-07-18T14:27:40Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-22c,london,2026-07-18,NO,22°C,10-19c,0.865,11.56,10.0,0.0675,0.197,0.681,1.49,won,11.56,1.49,2026-07-19T08:25:32Z
2026-07-18T14:27:40Z,highest-temperature-in-sao-paulo-on-july-18-2026,highest-temperature-in-sao-paulo-on-july-18-2026-24c,sao-paulo,2026-07-18,NO,24°C,20-29c,0.78,12.82,10.0,0.11,0.29,0.43,2.71,lost,0.0,-10.11,2026-07-19T08:25:32Z
2026-07-18T15:22:20Z,highest-temperature-in-nyc-on-july-18-2026,highest-temperature-in-nyc-on-july-18-2026-80-81f,nyc,2026-07-18,YES,80-81°F,85-97c,0.9,11.11,10.0,0.05,0.9,0.9,1.06,won,11.11,1.06,2026-07-19T08:25:32Z
2026-07-18T15:29:21Z,highest-temperature-in-toronto-on-july-18-2026,highest-temperature-in-toronto-on-july-18-2026-25c,toronto,2026-07-18,YES,25°C,65-74c,0.689,14.51,10.0,0.1555,0.689,0.689,4.35,lost,0.0,-10.16,2026-07-19T08:25:32Z
