scan_utc,kind,event_slug,detail,edge,sum_ask,sum_bid,market_prob,model_prob,volume24hr,liquidity,note
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-62k-on-july-14-2026,"BTC > $62,000 luc 2026-07-14T16:00:00Z; spot $64,204, DVOL 36%; mua NO @0.100; RONG +0.055 sau phi",0.0554,,,0.905,0.8383,4865.248162999999,22343.8227,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-62k-on-july-13-2026,"BTC > $62,000 luc 2026-07-13T16:00:00Z; spot $64,204, DVOL 36%; mua NO @0.060; RONG +0.055 sau phi",0.0547,,,0.945,0.8813,10274.382400999999,26340.3529,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-64k-on-july-12-2026,"BTC > $64,000 luc 2026-07-12T16:00:00Z; spot $64,204, DVOL 36%; mua NO @0.380; RONG +0.051 sau phi",0.0512,,,0.625,0.5523,6248.100726000001,27936.739,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-66k-on-july-14-2026,"BTC > $66,000 luc 2026-07-14T16:00:00Z; spot $64,204, DVOL 36%; mua YES @0.150; RONG +0.050 sau phi",0.0497,,,0.145,0.2086,2253.775289,19272.3291,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,negrisk_buy_all,emmys-2026-outstanding-supporting-actress-in-a-drama-series,7 o | tong mua 0.934 + phi 0.024 = 0.958 | nhan 1.000 | RONG +0.042,0.0419,0.934,0.701,,,4658.109457,26406.60102,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-64k-on-july-11-2026,"BTC > $64,000 luc 2026-07-11T16:00:00Z; spot $64,131, DVOL 36%; mua NO @0.250; RONG +0.146 sau phi",0.1459,,,0.755,0.591,90789.70446599997,28090.4224,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-62k-on-july-14-2026,"BTC > $62,000 luc 2026-07-14T16:00:00Z; spot $64,131, DVOL 36%; mua NO @0.090; RONG +0.066 sau phi",0.066,,,0.915,0.8383,3969.8677319999997,22108.6019,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-66k-on-july-13-2026,"BTC > $66,000 luc 2026-07-13T16:00:00Z; spot $64,131, DVOL 36%; mua YES @0.080; RONG +0.064 sau phi",0.0636,,,0.075,0.1487,5128.028020999999,20096.945,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-66k-on-july-14-2026,"BTC > $66,000 luc 2026-07-14T16:00:00Z; spot $64,131, DVOL 36%; mua YES @0.130; RONG +0.054 sau phi",0.0542,,,0.125,0.1921,2036.970289,19182.7159,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-66k-on-july-12-2026,"BTC > $66,000 luc 2026-07-12T16:00:00Z; spot $64,131, DVOL 36%; mua YES @0.027; RONG +0.052 sau phi",0.0523,,,0.0245,0.0811,21998.464916999998,24329.8737,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-62k-on-july-13-2026,"BTC > $62,000 luc 2026-07-13T16:00:00Z; spot $64,131, DVOL 36%; mua NO @0.060; RONG +0.052 sau phi",0.052,,,0.95,0.8841,9851.00186,25930.8912,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_eth,ethereum-above-1800-on-july-11-2026,"ETH > $1,800 luc 2026-07-11T16:00:00Z; spot $1,798, DVOL 50%; mua YES @0.390; RONG +0.048 sau phi",0.0482,,,0.385,0.4549,15645.282782000011,18303.5663,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_btc,bitcoin-above-62k-on-july-15-2026,"BTC > $62,000 luc 2026-07-15T16:00:00Z; spot $64,131, DVOL 36%; mua NO @0.140; RONG +0.047 sau phi",0.0471,,,0.865,0.8045,547.720132,19349.4383,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T10:47:09Z,crypto_eth,ethereum-above-1700-on-july-14-2026,"ETH > $1,700 luc 2026-07-14T16:00:00Z; spot $1,798, DVOL 50%; mua NO @0.070; RONG +0.046 sau phi",0.0456,,,0.945,0.8799,198,8316.0511,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
