entry_utc,event_slug,market_slug,city,target_date,lead_days,side,bucket,price,shares,stake,fee,p_model,market_prob,edge,n_members,potential_profit,status,payout,pnl,settle_utc
2026-07-18T08:11:54Z,highest-temperature-in-chongqing-on-july-20-2026,highest-temperature-in-chongqing-on-july-20-2026-38c,chongqing,2026-07-20,2,NO,38°C,0.68,14.71,10.0,0.16,0.0,0.32,0.32,31,4.55,lost,0.0,-10.16,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-tokyo-on-july-20-2026,highest-temperature-in-tokyo-on-july-20-2026-33c,tokyo,2026-07-20,2,NO,33°C,0.69,14.49,10.0,0.155,0.0,0.31,0.31,31,4.33,won,14.49,4.33,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-hong-kong-on-july-20-2026,highest-temperature-in-hong-kong-on-july-20-2026-30c,hong-kong,2026-07-20,2,NO,30°C,0.69,14.49,10.0,0.155,0.0,0.31,0.31,31,4.33,won,14.49,4.33,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-shanghai-on-july-19-2026,highest-temperature-in-shanghai-on-july-19-2026-33c,shanghai,2026-07-19,1,NO,33°C,0.66,15.15,10.0,0.17,0.032,0.34,0.308,31,4.98,lost,0.0,-10.17,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-milan-on-july-18-2026,highest-temperature-in-milan-on-july-18-2026-36c,milan,2026-07-18,0,YES,36°C,0.05,200.0,10.0,0.475,0.355,0.05,0.305,31,189.53,lost,0.0,-10.47,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-austin-on-july-18-2026,highest-temperature-in-austin-on-july-18-2026-98-99f,austin,2026-07-18,0,YES,98-99°F,0.022,454.55,10.0,0.489,0.323,0.022,0.301,31,444.06,lost,0.0,-10.49,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-singapore-on-july-20-2026,highest-temperature-in-singapore-on-july-20-2026-29c,singapore,2026-07-20,2,YES,29°C,0.022,454.55,10.0,0.489,0.323,0.022,0.301,31,444.06,lost,0.0,-10.49,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-milan-on-july-18-2026,highest-temperature-in-milan-on-july-18-2026-33c,milan,2026-07-18,0,NO,33°C,0.7,14.29,10.0,0.15,0.0,0.3,0.3,31,4.14,won,14.29,4.14,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-chengdu-on-july-19-2026,highest-temperature-in-chengdu-on-july-19-2026-38c,chengdu,2026-07-19,1,NO,38°C,0.7,14.29,10.0,0.15,0.0,0.3,0.3,31,4.14,won,14.29,4.14,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-shanghai-on-july-20-2026,highest-temperature-in-shanghai-on-july-20-2026-34c,shanghai,2026-07-20,2,NO,34°C,0.7,14.29,10.0,0.15,0.0,0.3,0.3,31,4.14,won,14.29,4.14,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-los-angeles-on-july-19-2026,highest-temperature-in-los-angeles-on-july-19-2026-80-81f,los-angeles,2026-07-19,1,YES,80-81°F,0.12,83.33,10.0,0.44,0.419,0.12,0.299,31,72.89,lost,0.0,-10.44,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-houston-on-july-19-2026,highest-temperature-in-houston-on-july-19-2026-98-99f,houston,2026-07-19,1,YES,98-99°F,0.09,111.11,10.0,0.455,0.387,0.09,0.297,31,100.66,lost,0.0,-10.46,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-moscow-on-july-19-2026,highest-temperature-in-moscow-on-july-19-2026-26c,moscow,2026-07-19,1,YES,26°C,0.19,52.63,10.0,0.405,0.484,0.19,0.294,31,42.23,lost,0.0,-10.4,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-karachi-on-july-20-2026,highest-temperature-in-karachi-on-july-20-2026-31c,karachi,2026-07-20,2,YES,31°C,0.19,52.63,10.0,0.405,0.484,0.19,0.294,31,42.23,lost,0.0,-10.4,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-helsinki-on-july-20-2026,highest-temperature-in-helsinki-on-july-20-2026-16corbelow,helsinki,2026-07-20,2,YES,<=16°C,0.03,333.33,10.0,0.485,0.323,0.03,0.293,31,322.84,lost,0.0,-10.48,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-helsinki-on-july-18-2026,highest-temperature-in-helsinki-on-july-18-2026-25c,helsinki,2026-07-18,0,NO,25°C,0.58,17.24,10.0,0.21,0.129,0.42,0.291,31,7.03,won,17.24,7.03,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-austin-on-july-19-2026,highest-temperature-in-austin-on-july-19-2026-94-95f,austin,2026-07-19,1,NO,94-95°F,0.58,17.24,10.0,0.21,0.129,0.42,0.291,31,7.03,lost,0.0,-10.21,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-qingdao-on-july-19-2026,highest-temperature-in-qingdao-on-july-19-2026-30c,qingdao,2026-07-19,1,NO,30°C,0.71,14.08,10.0,0.145,0.0,0.29,0.29,31,3.94,won,14.08,3.94,2026-07-20T07:00:15Z
